Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
초기화면,334,2623,71,137734,15188.64,0.00%,1.85636,18.39,0,10143.5
로그인,327,3064,359,136482,14538.43,0.00%,1.80713,20.05,0,11359.9
메인페이지,318,1177,55,115140,6415.39,0.00%,1.7523,17.05,0,9964.9
메뉴인덱스,315,1926,60,132272,11671.87,0.00%,1.7368,16.9,0,9964.9
메뉴헤더,311,2282,56,133097,13415.92,0.00%,1.71484,16.69,0,9964.9
메뉴레프트,306,2072,66,137125,13368.53,0.00%,1.74235,16.96,0,9964.9
컨텐츠,301,1989,49,131108,12412.89,0.00%,1.66276,16.18,0,9964.9
메뉴이동,294,2492,68,136507,14969.87,0.00%,1.6246,15.81,0,9964.9
상세조회,289,2054,65,130711,12538.55,0.00%,1.59788,17.41,0,11157.8
TOTAL,2795,2192,49,137734,12984.69,0.00%,15.35267,154.02,0,10272.8
